date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:18:54	348/348	---MCZ	200	added ('OK')	text/plain	date:Sat,%2006%20Apr%202024%2021:18:54%20GMT	https://ulyssejapangithub.wordpress.com/robots.txt		(from )
23:18:54	86481/86481	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Apr%202024%2021:18:54%20GMT	https://ulyssejapangithub.wordpress.com/	C:/My%20Web%20Sites/LWYW/ulyssejapangithub.wordpress.com/index.html	(from )
23:18:55	4233/4233	---MCZ	200	added ('OK')	text/css	etag:W/5350-1697652286677.862	https://s1.wp.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1697652279i&cssminify=yes	C:/My%20Web%20Sites/LWYW/s1.wp.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar31b8.css	(from https://ulyssejapangithub.wordpress.com/)
23:18:55	2553/2553	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2006%20Apr%202024%2021:18:55%20GMT	https://ulyssejapangithub.wordpress.com/feed/	C:/My%20Web%20Sites/LWYW/ulyssejapangithub.wordpress.com/feed/index.html	(from https://ulyssejapangithub.wordpress.com/)
23:18:55	896/896	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22c6679b147dacc4c9cc5d71612d3eb8ae%22	https://ulyssejapangithub.wordpress.com/comments/feed/	C:/My%20Web%20Sites/LWYW/ulyssejapangithub.wordpress.com/comments/feed/index.html	(from https://ulyssejapangithub.wordpress.com/)
23:18:55	16469/16469	---MCZ	200	added ('OK')	text/css	etag:W/16484-1711565248755.5015	https://s1.wp.com/wp-content/plugins/gutenberg-core/v18.0.0/build/block-library/blocks/navigation/style.css?m=1711565231i&cssminify=yes	C:/My%20Web%20Sites/LWYW/s1.wp.com/wp-content/plugins/gutenberg-core/v18.0.0/build/block-library/blocks/navigation/style72a3.css	(from https://ulyssejapangithub.wordpress.com/)
23:18:55	369/369	---M--	200	added ('OK')	text/css	etag:%226466e57d-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/My%20Web%20Sites/LWYW/s1.wp.com/_static/indexd02a.html	(from https://ulyssejapangithub.wordpress.com/)
23:18:55	335465/335465	---MCZ	200	added ('OK')	text/css	etag:W/335533-1705430319498.1921	https://widgets.wp.com/verbum-block-editor/block-editor.css?ver=1705430309	C:/My%20Web%20Sites/LWYW/widgets.wp.com/verbum-block-editor/block-editor0a16.css	(from https://ulyssejapangithub.wordpress.com/)
23:18:56	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684465074401.1533	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/My%20Web%20Sites/LWYW/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://ulyssejapangithub.wordpress.com/)
23:18:56	910/910	---MCZ	200	added ('OK')	text/xml	date:Sat,%2006%20Apr%202024%2021:18:56%20GMT	https://ulyssejapangithub.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/LWYW/ulyssejapangithub.wordpress.com/xmlrpc0db0.php	(from https://ulyssejapangithub.wordpress.com/)
